"1006", "150m别墅 儿童 多层", "跨楼层失败:3次/周1n玩具避障率:76%", "边刷更换:2次/季度1n集尘袋消耗:1个/月", "建议增加机械臂配件", "2025-01"
"1007", "550m²公寓 独立 复合地板", "覆盖率:90%1n日清扫:35m²1n沿边清扫无死角", "滤网寿命:剩余80天1n尘盒清理:每5天", "清洁效率优于70%小户型", "2025-01"
"1008", "100m²三层 三室 大平层", "覆盖率:86%1n叠层区域清扫:1次/天1n避障成功率:90%", "主副厨板:轻质1n水箱加水:每日2次", "大理石地面清洁", "2025-01"
"1009", "800m²两居 独立 双床 卧室", "宠物毛发清理:85%1n自动回充成功率:92%", "晾晒架:中度1n滤网更换:剩余30天", "养宠家庭中清洁效率处于中等水平", "2025-01"
"1010", "130m²四居 三代同堂 通体砖", "覆盖率:82%1n手动辅助清扫:3次/天1n定时清扫使用率:60%", "电池容量:15%1n边刷寿命:剩余45天", "大户型中挂壁式空调", "2025-01"
"1001", "650m²公寓 单层 木地板", "覆盖率:86%1n日清扫:46m²1n隔日区:沙发底部(高度不足)", "主副厨寿命:剩余55天1nHEPA滤网:剩余35%", "优于6个月", "2025-01"
"1002", "700m²公寓 独立 普通砖", "覆盖率:87%1n避障失败:3次/周(电线短路)", "边刷更换:中度1n尘盒清理:每2天", "拖地功能使用率低于同类32%", "2025-02"
"1003", "900m² 1间 短毛地毯", "毛发清理:91%1n地毯清洁:14次/月", "晾晒架:剩余20天1n尘盒容量:每日清理", "毛发处理效率前18%", "2025-02"
1004, "850m² 2室 混合地面", "辅助滤网清理:9次/月1n自动回充成功率:87%", "主副厨板:重度1n滤网更换:紧急", "建议升级为2500Pa+定期清理工", "2025-02"
1005, "120m² 老人 防滑砖", "手动操作占比:94%1n定时清扫完成:1次/周", "电池容量:26%1n水箱未激活", "急需清洁控制功能+简化操作界面", "2025-03"
1006, "150m²别墅 儿童 多层","跨楼层失败:4次/周1n玩具避障率:74%", "边刷更换:待更换1n集尘袋消耗:1.2个/月", "建议增加机械臂配件+提升蹲便器", "2025-03"
1007, "550m²一居 独立 复合地板", "覆盖率:91%1n日清扫:36m²1n沿边清扫无死角", "滤网寿命:剩余75天1n尘盒清理:每4天", "清洁效率优于72%小户型", "2025-03"
1008, "100m²三层 三室 大平层", "覆盖率:87%1n叠层区域清扫:1次/天1n避障成功率:91%", "主副厨板:轻度1n水箱加水:每日2次", "大理石地面清洁", "2025-03"
1009, "800m²两居 独立 双床 卧室", "宠物毛发清理:86%1n自动回充成功率:93%", "晾晒架:中度1n滤网更换:剩余25天", "养宠家庭中清洁效率处于中等水平", "2025-03"
1001, "130m²四居 三代同堂 通体砖", "覆盖率:83%1n手动辅助清扫:2次/天1n定时清扫使用率:65%", "电池容量:16%1n边刷寿命:剩余40天", "大户型中提供便捷性低于同类18%", "2025-03"
1002, "650m²公寓 单层 木地板", "覆盖率:87%1n日清扫:47m²1n隔日区:沙发底部(高度不足)", "主副厨寿命:剩余50天1nHEPA滤网:剩余30%", "优于70%同面积用户(清洁频率更高)", "2025-03"
1003, "700m²公寓 独立 普通砖", "覆盖率:88%1n避障失败:2次/周(电线短路)", "边刷更换:中度1n尘盒清理:每2天", "拖地功能使用率低于同类30%+建议整理线路", "2025-03"
1004, "900m² 1间 短毛地毯", "毛发清理:92%1n地毯清洁:16次/月", "晾晒架:中度1n滤网更换:紧急", "毛发处理效率前15%", "2025-03"
1005, "850m² 2室 混合地面", "辅助滤网清理:7次/月1n自动回充成功率:84%", "主副厨板:重度1n滤网更换:紧急", "升级吸力后清洁效率提升5%", "2025-03"
1006, "120m²老人 防滑砖", "手动操作占比:93%1n定时清扫使用率:2次/周", "电池容量:27%1n水箱首次激活:使用1次", "语音控制功能已预约安装", "2025-03"
1007, "150m²别墅 儿童 多层", "跨楼层失败:2次/周1n玩具避障率:78%", "边刷更换:1次/季度1n集尘袋消耗:1个/月", "机械臂配件已加装+蹲便器升级优化", "2025-03"
1008, "550m²一居 独立 复合地板", "覆盖率:92%1n日清扫:37m²1n沿边清扫无死角", "滤网寿命:剩余70天1n尘盒清理:每4天", "清洁效率优于75%小户型用户", "2025-03"
